아침밥/일품,아침국,아침반찬1,아침반찬2,아침김치,오전간식1,오전간식2,점심밥/일품,점심국,점심반찬1,점심반찬2,점심김치,오후간식1,오후간식2,저녁밥/일품,저녁국,저녁반찬1,저녁반찬2,저녁김치,총점
밤찹쌀팥밥(30),애호박새우젓국,단호박달걀찜,느타리버섯나물,석박지,S쇠고기미역죽,S식혜,일본식쇠고기덮밥(규동),느타리버섯국,매콤콩나물무침,배무생채,깍두기,S감자건포도샐러드,S고구마쉐이크,찹쌀밥,미역만두국,머윗대들깨나물,얼갈이무침,열무 김치,4
밤찹쌀팥밥(40),애호박새우젓국,단호박달걀찜,배무생채,석박지,empty,S고구마쉐이크,일본식쇠고기덮밥(규동),느타리버섯국,콩나물무침,달걀샐러드,깍두기,S호떡,S매실차,찹쌀밥,미역만두국,돈육갈비찜,얼갈이무침,열무 김치,5
밤찹쌀팥밥,애호박새우젓국,단호박달걀찜,느타리버섯나물,석박지,S딸기쨈식빵,S우유(100ml),일본식쇠고기덮밥(규동),실파장국,미니돈까스,달걀샐러드,깍두기,S복숭아,S매실차,찹쌀밥,미역만두국,돈육갈비찜,얼갈이무침,열무 김치,5
방울토마토새우볶음밥,배춧국,고구마맛탕,크래미채소볶음,나박 김치,S우유(150ml),S쌀음료,밤밥(40),버섯찌개,모듬버섯전,맛살달걀찜,비트초절이,S치즈죽,S오이당근스틱,완두콩밥,팥죽,애호박볶음,순살간장닭갈비,오이소박이김치,1
밤밥(40),팥죽,맛살달걀찜,크래미채소볶음,나박 김치,S치즈죽,S쌀음료,방울토마토새우볶음밥,배춧국,고구마맛탕,애호박볶음,비트초절이,S오이당근스틱,S우유(150ml),완두콩밥,버섯찌개,순살간장닭갈비,모듬버섯전,오이소박이김치,4
밤밥,매생이국,옥수수달걀찜,크래미채소볶음,나박 김치,S딸기쨈식빵,S두유(150ml),방울토마토새우볶음밥,유부쑥갓맑은국,고구마맛탕,바나나사과키위샐러드,비트초절이,S오이당근스틱,S우유(200ml),완두콩밥,버섯찌개,순살간장닭갈비,모듬버섯전,오이소박이김치,5
밤밥,팥죽,맛살달걀찜,크래미채소볶음,나박 김치,empty,S두유(150ml),방울토마토새우볶음밥,크림스프,고구마맛탕,양배추샐러드(사우전아일랜드드레싱),비트초절이,S오이당근스틱,S우유(200ml),완두콩밥,버섯찌개,순살간장닭갈비,모듬버섯전,오이소박이김치,5
율무밥,조갯살된장찌개,감자채피망볶음,장산적조림,총각 김치,S오렌지주스(무가당),S호두우유,찹쌀밥(30),냉이콩나물된장국,치커리겉절이,계란찜,깍두기,S우엉주먹밥,S마카로니채소샐러드,찹쌀팥밥,감자탕,얼갈이나물,참나물간장무침,콜라비나박김치,1
찹쌀밥(30),냉이콩나물된장국,감자채피망볶음,치커리겉절이,총각 김치,S우엉주먹밥,S오렌지주스(무가당),율무밥,조갯살된장찌개,계란찜,얼갈이나물,깍두기,S마카로니채소샐러드,S호두우유,찹쌀팥밥,감자탕,장산적조림,참나물간장무침,콜라비나박김치,3
찹쌀밥,냉이콩나물된장국,계란찜,치커리겉절이,총각 김치,empty,S호두우유,율무밥,조갯살된장찌개,가자미간장조림,얼갈이나물,깍두기,S마카로니채소샐러드,S오렌지주스(무가당),찹쌀팥밥,감자탕,장산적조림,참나물간장무침,콜라비나박김치,5
찹쌀밥,냉이콩나물된장국,베이컨파프리카볶음,치커리겉절이,총각 김치,S치즈케이크,S오렌지주스(무가당),율무밥,조갯살된장찌개,오리훈제채소구이,얼갈이나물,깍두기,S수박,S호두우유,찹쌀팥밥,감자탕,장산적조림,참나물간장무침,콜라비나박김치,5
파프리카유부초밥,만두닭개장,주꾸미볶음,매콤주꾸미볶음,오이소박이김치,S소고기우엉죽,S건포도감자볼,팥밥(30),만둣국,더덕사과무침,갈치조림,비트초절이,S단호박식혜,S우유(100ml),찹쌀밥(추가),미역만두국,돌나물흑임자샐러드,empty,열무 물김치,1
팥밥(30),미역만두국,주꾸미볶음,돌나물흑임자샐러드,오이소박이김치,S소고기우엉죽,S단호박식혜,파프리카유부초밥,만둣국,갈치조림,더덕사과무침,비트초절이,S건포도감자볼,S우유(100ml),찹쌀밥(추가),만두닭개장,매콤주꾸미볶음,empty,열무 물김치,3
팥밥,쇠고기미역국,두부데리야끼조림,돌나물흑임자샐러드,오이소박이김치,S모닝빵+딸기잼,S우유(100ml),파프리카유부초밥,볼어묵국,감자고로케,요거트과일범벅,비트초절이,S방울토마토(70g),S요구르트,찹쌀밥,만두닭개장,매콤주꾸미볶음,근대나물,열무 물김치,5
팥밥,미역만두국,주꾸미볶음,돌나물흑임자샐러드,오이소박이김치,S참외,S단호박식혜,파프리카유부초밥,볼어묵국,감자고로케,요거트과일범벅,비트초절이,empty,S우유(100ml),찹쌀밥,만두닭개장,매콤주꾸미볶음,배추나물,열무 물김치,5
흑미밥(추가),만두순두부찌개,닭볶음탕,순살된장닭볶음,나박 김치,S두부채소죽,S연두부샐러드(오리엔탈드레싱),고구마밥(40),감자호박국,쇠고기사태장조림,알감자조림,깍두기,S검은깨두유(200ml),S고구마쉐이크,백미밥(추가),들깨감자국,오이토마토샐러드(발사믹드레싱),건파래자반,총각 김치,1
백미밥(추가),감자호박국,쇠고기사태장조림,오이토마토샐러드(발사믹드레싱),나박 김치,S두부채소죽,S검은깨두유(200ml),고구마밥(40),만두순두부찌개,순살된장닭볶음,알감자조림,깍두기,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,흑미밥(추가),들깨감자국,닭볶음탕,건파래자반,총각 김치,4
백미밥,감자호박국,쇠고기사태장조림,오이토마토샐러드(발사믹드레싱),나박 김치,empty,S검은깨두유(200ml),고구마밥,순두부찌개,순살된장닭볶음,알감자조림,깍두기,S채소스크램블에그,S망고주스,흑미밥,들깨감자국,닭볶음탕,건파래자반,총각 김치,5
백미밥,감자호박국,쇠고기사태장조림,오이토마토샐러드(발사믹드레싱),나박 김치,S오이스틱,S검은깨두유(150ml),고구마밥,만두순두부찌개,순살된장닭볶음,알감자조림,깍두기,S군고구마,S우유(100ml),흑미밥,들깨감자국,닭볶음탕,건파래자반,총각 김치,5
밤콩밥(30),콩나물육개장,단배추멸치조림,더덕사과무침,열무 물김치,S소고기우엉죽,S쌀음료,율무밥,만둣국,가지구이,가지무침,오이소박이김치,S우유(100ml),S감자채요거트샐러드,파프리카유부초밥,애호박두부된장국,무말랭이,채소크로켓,비트초절이,1
파프리카유부초밥,애호박두부된장국,단배추멸치조림,무말랭이,비트초절이,S소고기우엉죽,S우유(100ml),밤콩밥(30),만둣국,채소크로켓,가지무침,오이소박이김치,S감자채요거트샐러드,S쌀음료,율무밥,콩나물육개장,가지구이,더덕사과무침,열무 물김치,3
파프리카유부초밥,팽이장국,검정콩조림,단호박샐러드,비트초절이,S파인애플,S떠먹는요구르트(100ml),밤콩밥,대구살맑은국,닭봉소스조림,가지무침,오이소박이김치,S절편,S우유(100ml),율무밥,콩나물육개장,돼지목살구이,더덕사과무침,열무 물김치,5
파프리카유부초밥,팽이장국,채소스크램블에그,단호박샐러드,비트초절이,S파인애플,S떠먹는요구르트(100ml),밤콩밥,만둣국,닭다리케찹조림,가지무침,오이소박이김치,S오미자아이스크림,empty,율무밥,콩나물육개장,돼지목살구이,더덕사과무침,열무 물김치,5
수수밥(30),김치맑은국,마늘쫑무침,깻잎나물,깍두기,S수제바나나우유,S참깨타락죽,옥수수밥,유부장국,얼갈이나물,춘천닭갈비,단무지,S마카로니채소샐러드,S코코아,취나물표고영양밥,버섯부추국,참나물무침,게살스크램블에그,총각 김치,1
수수밥(30),유부장국,게살스크램블에그,마늘쫑무침,깍두기,S참깨타락죽,S코코아,옥수수밥,버섯부추국,춘천닭갈비,얼갈이나물,단무지,S마카로니채소샐러드,S수제바나나우유,취나물표고영양밥,김치맑은국,깻잎나물,참나물무침,총각 김치,4
수수밥,유부장국,게살스크램블에그,마늘쫑무침,깍두기,S파인애플,S두유(200ml),옥수수밥,버섯육개장,춘천닭갈비,얼갈이나물,단배추물김치,empty,S코코아,취나물표고영양밥,김치맑은국,임연수구이,참나물무침,총각 김치,5
수수밥,양지곰국,게살스크램블에그,아욱무침,깍두기,S모닝빵,S코코아,옥수수밥,버섯부추국,춘천닭갈비,얼갈이나물,단배추물김치,S마카로니채소샐러드,S우유(100ml),취나물표고영양밥,김치맑은국,고등어살카레구이,참나물무침,총각 김치,5
검정콩밥,만두국,메추리알고구마조림,애호박건새우볶음,나박 김치,S참외샐러드,S우유(100ml),닭살카레감자밥+양념장,모듬버섯찌개,채소크로켓,도라지무침,오이 피클,S치즈게살죽,S쌀음료,팥밥(30),감자국,느타리버섯나물,empty,오이소박이김치,1
팥밥(30),만두국,메추리알고구마조림,애호박건새우볶음,나박 김치,S치즈게살죽,S쌀음료,검정콩밥,모듬버섯찌개,empty,도라지무침,오이소박이김치,S참외샐러드,S우유(100ml),닭살카레감자밥+양념장,감자국,채소크로켓,느타리버섯나물,오이 피클,2
팥밥,탕국,메추리알고구마조림,맛살채소새콤무침,나박 김치,S삶은계란,S쌀음료,검정콩밥,쇠고기팽이버섯국,훈제오리구이,도라지무침,오이소박이김치,S참외샐러드,S우유(200ml),닭살카레감자밥+양념장,감자국,채소크로켓,느타리버섯나물,백김치,5
팥밥,만두국,메추리알고구마조림,애호박건새우볶음,나박 김치,S삶은계란,S쌀음료,검정콩밥,모듬버섯찌개,연어구이+타르타르소스,도라지무침,오이소박이김치,S참외,S우유(100ml),닭살카레감자밥+양념장,감자국,채소크로켓,토마토두부샐러드,오이 피클,5
찹쌀밥,만두순두부찌개,고구마순된장무침,매콤콩나물무침,깍두기,S건포도감자볼,S식혜,돈육양배추덮밥,만두닭개장,주꾸미채소간장볶음,돈사태찜,총각 김치,S고구마쉐이크,empty,옥수수밥(30),느타리버섯국,돌나물흑임자샐러드,가지양념찜,열무 물김치,1
옥수수밥(30),느타리버섯국,매콤콩나물무침,돌나물흑임자샐러드,열무 물김치,empty,S고구마쉐이크,돈육양배추덮밥,만두닭개장,주꾸미채소간장볶음,가지양념찜,깍두기,S건포도감자볼,S식혜,찹쌀밥,만두순두부찌개,돈사태찜,고구마순된장무침,총각 김치,3
옥수수밥(40),느타리버섯국,매콤콩나물무침,돌나물흑임자샐러드,열무 물김치,S당근스틱,S고구마쉐이크,돈육양배추덮밥,채소스프,곤약메추리알장조림,오이사과무침,깍두기,S건포도감자볼,S식혜,찹쌀밥,두부콩나물국,돈사태찜,고구마순된장무침,총각 김치,5
옥수수밥,느타리버섯국,미트볼토마토소스조림,김구이+달래양념장,열무 물김치,empty,S고구마쉐이크,돈육양배추덮밥,미소국,춘권튀김,바나나사과키위샐러드,비트초절이,S건포도감자볼,S식혜,찹쌀밥,만두순두부찌개,돈사태찜,고구마순된장무침,총각 김치,5
일본식쇠고기덮밥(규동),두부전골,양념가지찜,우엉채곤약조림,열무 김치,S고구마샐러드(마요네즈),S오렌지주스(무가당),팥밥(30),애호박젓국찌개,느타리버섯나물,애호박볶음,나박 김치,S크림소스스파게티,S수제바나나우유,율무밥,콩나물육개장,단배추멸치조림,배무생채,깻잎김치,1
팥밥(30),콩나물육개장,양념가지찜,우엉채곤약조림,열무 김치,S고구마샐러드(마요네즈),S수제바나나우유,율무밥,두부전골,느타리버섯나물,애호박볶음,깻잎김치,S크림소스스파게티,S오렌지주스(무가당),일본식쇠고기덮밥(규동),애호박젓국찌개,단배추멸치조림,배무생채,나박 김치,4
팥밥,콩나물육개장,달걀후라이,우엉채곤약조림,열무 김치,S사과,S수제바나나우유,율무밥,두부전골,닭살카레조림,애호박볶음,깻잎김치,S마들렌,S오렌지주스(무가당),일본식쇠고기덮밥(규동),맑은양배춧국,춘권튀김,멸치조림,나박 김치,5
팥밥,콩나물육개장,삼치양념구이,우엉채곤약조림,열무 김치,S고구마샐러드(마요네즈),S매실차,율무밥,두부전골,돈육단호박찜,애호박볶음,깻잎김치,S마들렌,S오렌지주스(무가당),일본식쇠고기덮밥(규동),애호박젓국찌개,물파래옥수수전,모듬과일샐러드,나박 김치,5
찹쌀밥(추가),팥죽,고구마순된장무침,채소크로켓,깍두기,S치즈게살죽,S토마토주스,쇠고기가지덮밥,모듬버섯찌개,참외노각무침,건새우애호박볶음,비트초절이,S연두부샐러드(오리엔탈드레싱),S우유(100ml),수수밥(30),다시마새우젓국,매콤오삼불고기,empty,총각 김치,1
찹쌀밥(추가),팥죽,empty,고구마순된장무침,깍두기,S치즈게살죽,S토마토주스,쇠고기가지덮밥,다시마새우젓국,채소크로켓,건새우애호박볶음,비트초절이,S연두부샐러드(오리엔탈드레싱),S우유(100ml),수수밥(30),모듬버섯찌개,매콤오삼불고기,참외노각무침,총각 김치,4
찹쌀밥(추가),팥죽,empty,고구마순된장무침,깍두기,S치즈,S토마토주스,쇠고기가지덮밥,다시마새우젓국,채소크로켓,건새우애호박볶음,비트초절이,S연두부샐러드(오리엔탈드레싱),S우유(200ml),수수밥,모듬버섯찌개,매콤오삼불고기,참외노각무침,총각 김치,5
찹쌀밥(추가),팥죽,감자채전,고구마순된장무침,깍두기,S치즈,S토마토주스,쇠고기가지덮밥,다시마새우젓국,채소크로켓,건새우애호박볶음,비트초절이,S연두부샐러드(오리엔탈드레싱),S우유(100ml),수수밥,모듬버섯찌개,매콤오삼불고기,참외노각무침,총각 김치,5
돈육양배추덮밥,미역만두국,고구마엿장조림,매콤콩나물무침,열무 물김치,S건포도감자볼,S수제블루베리우유,찹쌀밥,당근스프,(고춧가루제외)부추사과무침,양념가지찜,열무 김치,S쌀음료,S소고기감자죽,밤콩밥(30),만두닭개장,애호박나물,애호박볶음,나박 김치,1
